creditscore,geography,gender,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,satisfaction_score,card_type,point_earned,payment_proxy,age_group,tenure_group,balance_group,average_revenue_group,annual_value_proxy,monthly_value_proxy,monthly_spend_category,customer_lifetime_value,customer_value_segment,active_status,credit_card_status,product_segment,actual_churn,churn_probability,predicted_churn
508,France,Male,26,7,205962.0,1,1,0,156424.4,1,DIAMOND,954,DIAMOND,18-30,6-8 years,Very High,Very High,5498.36,458.2,Very High,38488.52,Platinum,Inactive,Has Credit Card,1 product(s),0,0.4534867693403235,0
684,Germany,Female,48,10,126384.42,1,1,1,198129.36,1,GOLD,462,GOLD,41-50,9-10 years,High,Very High,3869.34,322.44,Very High,38693.4,Platinum,Active,Has Credit Card,1 product(s),0,0.7036141703829415,1
569,France,Male,35,10,124525.52,1,1,1,193793.78,5,PLATINUM,693,PLATINUM,31-40,9-10 years,High,Very High,3925.98,327.17,Very High,39259.8,Platinum,Active,Has Credit Card,1 product(s),0,0.3041040418246639,0
762,France,Male,31,7,117687.35,1,1,1,159344.43,2,PLATINUM,867,PLATINUM,31-40,6-8 years,High,Very High,3703.97,308.66,Very High,25927.79,Platinum,Active,Has Credit Card,1 product(s),0,0.24209785014428184,0
659,France,Male,20,8,0.0,2,0,0,112572.02,5,GOLD,833,GOLD,18-30,6-8 years,Medium,High,1219.36,101.61,Medium,9754.88,Gold,Inactive,No Credit Card,2 product(s),0,0.06093979358171255,0
648,France,Female,39,6,130694.89,2,1,1,153955.38,2,DIAMOND,912,DIAMOND,31-40,6-8 years,Very High,Very High,4079.67,339.97,Very High,24478.02,Platinum,Active,Has Credit Card,2 product(s),1,0.2944967565093355,0
597,France,Female,42,4,64740.12,1,1,1,106841.12,5,SILVER,244,SILVER,41-50,3-5 years,Medium,High,2071.01,172.58,Medium,8284.04,Silver,Active,Has Credit Card,1 product(s),0,0.5362723745961204,1
659,Germany,Male,67,6,117411.6,1,1,1,45071.09,2,SILVER,815,SILVER,61+,6-8 years,High,Low,3101.09,258.42,High,18606.54,Gold,Active,Has Credit Card,1 product(s),1,0.5835220914013555,1
526,France,Male,28,1,112070.44,1,0,1,126281.83,4,DIAMOND,486,DIAMOND,18-30,0-2 years,High,High,3235.82,269.65,High,3235.82,Bronze,Active,No Credit Card,1 product(s),0,0.19969564640130216,0
758,Spain,Female,35,5,0.0,2,0,0,100365.51,1,DIAMOND,833,DIAMOND,31-40,3-5 years,Low,High,1158.33,96.53,Low,5791.65,Silver,Inactive,No Credit Card,2 product(s),0,0.09645018837290148,0
724,France,Male,28,9,0.0,2,1,1,100240.2,2,GOLD,664,GOLD,18-30,9-10 years,Low,High,1073.2,89.43,Low,9658.8,Gold,Active,Has Credit Card,2 product(s),0,0.06605150384813264,0
643,France,Male,30,5,94443.77,1,1,1,165614.4,2,GOLD,606,GOLD,18-30,3-5 years,Medium,Very High,3139.95,261.66,High,15699.75,Gold,Active,Has Credit Card,1 product(s),0,0.21208903378460014,0
679,France,Male,34,7,160515.37,1,1,0,121904.14,2,DIAMOND,932,DIAMOND,31-40,6-8 years,Very High,High,4405.83,367.15,Very High,30840.81,Platinum,Inactive,Has Credit Card,1 product(s),0,0.3878010697652248,0
595,France,Male,46,10,0.0,1,1,0,73489.15,4,SILVER,273,SILVER,41-50,9-10 years,Low,Medium,623.95,52.0,Low,6239.5,Silver,Inactive,Has Credit Card,1 product(s),1,0.783648195860371,1
690,Germany,Male,32,0,106683.52,2,1,1,137916.49,1,PLATINUM,615,PLATINUM,31-40,0-2 years,High,High,3370.75,280.9,High,3370.75,Bronze,Active,Has Credit Card,2 product(s),0,0.24639829216421597,0
