feature,importance
age,0.17946987296970945
product_segment_2 product(s),0.12447644699615151
product_segment_1 product(s),0.06952706819591686
numofproducts,0.06759900548056744
product_segment_3+ products,0.047759746484621966
age_group_51-60,0.038725879356471045
annual_value_proxy,0.03826226967168406
monthly_value_proxy,0.03677081061307676
balance,0.03085733859911915
geography_Germany,0.0295994646146576
age_group_31-40,0.02920067943785126
age_group_18-30,0.025513268044522478
age_group_41-50,0.025101327629240625
active_status_Inactive,0.02240163530983006
active_status_Active,0.022154783701901982
